Geopolitical entity (reporting),2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06
Austria,0.7,2.4,1.3,1.1,1.0,0.9,0.3,1.5,0.7,0.5,0.8,2.1,2.4,2.4,3.0,1.9,1.9,2.3,2.7,2.4,4.6,4.3,4.7,5.4,5.6,5.8,6.1,6.2,7.9,7.8,8.5,8.8,8.4,8.2,7.9,7.4,7.1,6.3,5.9,5.9,4.3,3.6,3.3,2.7,2.1,1.8,1.0,0.7,0.5,0.5,0.5,0.0,0.3,0.5,0.1,0.6,1.1,0.5,0.6,0.3,0.3
Belgium,0.9,5.5,-4.6,0.8,0.6,0.7,0.6,1.7,-1.6,0.3,0.3,0.4,0.4,-4.3,6.5,1.1,1.4,1.4,2.1,1.3,4.8,3.0,3.2,3.3,3.6,4.0,4.2,5.1,5.6,6.0,6.4,6.7,6.7,7.0,6.5,6.5,6.5,4.1,5.6,4.4,4.4,3.4,3.1,4.3,2.4,1.7,1.3,1.3,1.3,1.5,1.4,1.3,1.1,1.7,0.8,-3.3,0.7,-0.1,0.2,-0.1,0.0
Bulgaria,0.1,0.1,0.1,0.0,-0.3,-0.3,-0.6,-0.4,-0.3,-0.2,-0.1,0.1,0.2,0.4,0.7,1.0,1.6,2.3,2.9,3.8,4.3,5.1,5.7,6.1,6.7,7.1,8.1,8.9,9.3,9.5,10.2,10.8,10.7,10.5,10.0,9.6,9.2,9.0,8.3,7.6,6.4,5.7,4.6,3.7,3.0,2.7,1.9,1.7,1.1,0.9,0.5,-0.1,0.4,-0.1,0.1,-0.1,0.3,0.4,0.9,0.9,
Croatia,-0.3,-0.3,-0.2,0.0,-0.1,-0.3,-0.4,0.1,0.0,-0.6,0.1,-0.3,0.0,0.8,0.9,0.5,1.1,2.0,2.9,3.3,4.5,5.7,6.7,7.8,9.0,8.5,9.2,10.4,9.9,10.2,11.2,11.1,9.7,9.1,8.5,8.1,7.7,7.7,6.9,4.8,5.5,4.6,3.7,2.6,2.3,2.2,1.8,1.4,1.3,0.7,0.4,0.7,0.8,0.7,0.8,0.6,0.4,0.2,0.5,0.3,-0.2
Cyprus,-1.5,1.7,1.2,0.3,-0.2,0.2,-0.2,1.6,0.1,0.1,1.5,1.4,2.5,0.8,0.8,1.9,2.2,2.4,3.2,2.9,3.6,3.8,3.9,4.8,3.6,4.6,4.7,4.3,5.1,5.2,5.4,6.1,6.1,6.1,5.7,5.2,5.5,4.3,4.0,3.5,2.0,1.3,1.2,-0.1,0.5,-0.6,-0.4,-0.2,-0.1,-0.2,-0.5,-0.9,-0.4,-0.4,-0.9,-0.7,-1.6,-2.8,-2.7,-2.4,-2.7
Czechia,2.8,3.3,3.4,3.5,3.6,3.5,3.2,3.5,2.9,2.8,2.7,3.0,3.0,3.4,4.2,5.2,5.4,6.7,8.2,8.8,9.6,10.9,11.9,12.8,13.1,13.3,13.7,13.7,13.9,13.0,12.3,12.0,12.0,11.1,10.1,8.9,7.8,6.7,5.6,4.4,3.4,3.2,2.6,2.2,1.4,1.2,1.1,0.9,0.7,1.1,0.9,1.0,0.8,0.5,0.6,0.5,0.6,0.3,0.2,0.5,
Denmark,0.7,0.8,0.0,-0.1,-0.6,-0.4,-0.7,-0.2,-0.8,-1.1,-0.8,-0.4,-0.2,-0.6,0.0,0.2,0.7,0.5,0.7,1.1,2.4,3.0,3.5,4.4,4.8,5.8,6.1,6.6,7.1,6.7,8.0,6.8,6.3,5.7,5.6,3.7,3.4,2.5,1.5,0.9,0.0,0.3,-0.6,-0.6,-1.5,-1.3,-1.6,-1.4,-2.1,-2.0,-1.7,-0.9,-1.2,-1.3,-1.2,-1.6,-0.6,-0.9,-0.8,-0.5,
EU27,0.8,1.7,0.3,0.3,0.5,0.3,0.1,1.5,1.2,0.6,0.7,0.9,1.3,1.0,2.5,2.2,2.2,2.6,3.1,2.6,3.5,3.9,4.3,4.8,5.0,5.2,5.9,6.4,6.9,7.0,7.3,7.5,7.5,7.4,6.9,6.5,6.2,5.7,5.4,4.7,4.0,3.4,3.0,2.5,2.0,1.6,1.3,1.1,1.0,1.0,0.6,0.7,0.7,0.8,0.7,0.7,0.8,0.8,0.7,0.7,
Estonia,-0.1,0.5,0.1,-0.1,-0.7,-0.7,-0.1,0.9,0.4,0.0,0.1,2.2,3.0,2.5,3.0,3.1,4.4,5.6,6.6,6.7,7.2,8.9,10.0,8.7,9.1,10.0,11.4,11.6,12.3,11.9,11.7,12.5,12.6,12.4,12.0,11.2,9.8,9.1,8.3,7.1,5.3,5.0,4.7,3.8,3.7,2.8,2.7,2.4,2.4,1.6,1.6,2.1,2.7,2.1,2.2,1.6,1.1,1.1,0.7,1.0,
Euro area,0.2,1.6,-0.1,-0.3,-0.1,-0.3,-0.5,1.5,1.0,0.3,0.4,0.7,1.2,0.7,2.6,2.1,2.0,2.4,2.9,2.1,3.1,3.4,3.8,4.2,4.3,4.5,5.1,5.5,6.1,6.1,6.4,6.7,6.8,6.6,6.2,5.8,5.5,5.0,4.7,4.1,3.5,2.9,2.5,2.0,1.6,1.1,0.9,0.7,0.7,0.7,0.4,0.4,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.5
Finland,-1.0,0.3,0.0,-0.4,-0.7,-0.9,-0.8,-0.1,-0.8,-1.2,-0.2,-0.1,0.1,-0.4,-0.7,-0.2,0.7,1.1,2.1,2.4,2.4,3.0,3.4,5.3,5.0,5.5,5.3,5.3,5.7,5.4,5.9,5.3,5.9,6.3,6.1,5.1,4.2,3.9,3.6,3.9,3.2,2.0,1.7,1.5,1.1,0.2,-0.3,-0.3,0.3,0.3,0.2,0.5,0.7,1.4,0.9,1.3,1.3,1.4,1.1,1.4,1.6
France,-0.8,2.3,0.0,0.1,0.2,-0.1,-0.8,1.2,-0.1,0.2,0.2,0.4,1.3,-0.7,1.9,1.2,1.0,1.6,2.1,1.3,3.0,2.8,3.3,3.8,3.2,3.5,4.2,4.2,4.9,5.1,5.3,5.3,5.4,5.6,5.4,4.9,5.0,4.1,3.7,3.4,2.7,2.3,1.8,1.0,0.6,0.4,0.1,0.5,0.6,0.5,0.5,0.3,0.4,0.4,0.2,0.9,0.7,0.5,0.5,0.1,0.1
Germany,0.7,-0.8,-0.8,-1.1,-1.0,-1.1,-1.6,1.1,1.2,0.5,0.4,0.9,1.6,3.8,3.8,3.9,3.9,4.2,5.0,3.1,3.4,4.4,5.2,5.6,5.6,5.8,6.1,6.4,7.2,7.3,7.4,7.4,7.2,7.2,6.9,6.2,6.2,5.5,5.5,4.9,4.1,3.6,3.3,2.8,2.8,2.2,1.8,1.3,1.1,1.1,0.7,0.7,0.8,1.0,1.3,1.2,0.6,0.8,0.8,1.0,0.9
Greece,-0.6,-0.3,-0.8,-1.0,-1.0,-2.5,-2.3,-1.9,-0.8,-5.2,-1.3,-2.1,-0.7,0.0,-0.3,0.1,0.4,1.9,1.9,2.9,2.5,3.2,2.8,3.6,4.8,4.7,5.8,6.1,7.0,9.0,7.3,8.2,8.9,10.3,7.6,9.7,6.4,6.6,6.5,4.4,3.6,3.4,2.6,2.6,1.7,2.1,1.8,1.5,1.1,0.9,1.4,1.8,1.6,2.1,1.7,1.4,1.4,0.8,0.4,1.4,1.2
Hungary,0.8,2.0,2.0,1.8,1.5,1.3,1.3,1.6,1.8,1.8,2.4,2.8,3.1,2.8,3.1,3.9,4.3,4.8,5.5,6.2,6.8,7.5,8.5,9.5,10.6,11.8,13.1,14.1,15.0,15.6,15.7,15.9,16.0,15.8,15.0,13.3,12.0,10.1,8.8,7.6,6.5,5.6,4.9,4.1,3.0,2.3,1.8,1.8,1.6,2.0,1.9,1.8,1.5,1.1,1.5,1.4,1.8,2.2,2.4,2.8,
Iceland,4.5,6.0,5.1,5.9,6.2,6.3,6.3,7.8,6.9,6.4,5.5,3.7,3.1,2.9,2.5,1.8,1.6,1.7,1.7,1.5,2.7,3.4,3.0,3.0,3.6,3.2,3.6,4.3,4.4,4.5,4.7,5.7,7.0,6.4,7.0,6.7,6.6,6.6,6.6,5.9,5.6,5.9,5.4,3.6,3.2,2.9,2.2,3.0,2.1,2.2,1.5,2.0,1.6,1.6,1.7,2.2,0.8,0.5,1.1,0.0,
Ireland,-2.9,-0.6,-2.3,-2.8,-2.9,-3.1,-3.9,-1.7,-2.8,-2.1,-0.9,-0.5,0.0,-1.4,-0.4,1.0,1.8,2.5,4.4,2.1,3.8,2.6,3.5,4.2,4.7,4.9,5.0,5.0,5.1,4.7,4.3,5.1,5.0,5.7,4.6,4.0,3.8,2.4,2.9,2.1,1.9,1.1,1.7,0.1,-0.7,-1.9,-2.0,-2.3,-2.3,-2.0,-2.2,-2.5,-2.3,-2.3,-2.9,-2.2,-1.9,-0.6,-0.9,-0.3,
Italy,0.6,5.7,1.2,-0.9,0.1,0.3,0.3,2.7,2.8,0.2,0.1,0.1,0.3,-2.9,1.9,1.6,0.8,0.6,1.1,0.3,1.4,1.8,2.1,2.6,2.9,2.5,4.1,4.4,4.9,5.3,5.5,6.6,6.8,5.9,5.5,5.2,5.0,5.2,4.3,3.9,3.2,2.5,2.2,1.8,1.2,0.7,0.9,0.7,0.5,0.8,0.3,-0.1,0.3,0.4,0.1,0.1,-0.1,0.5,0.3,0.4,0.5
Latvia,-0.1,1.3,0.9,0.3,0.3,-0.2,-0.3,0.7,0.6,0.0,0.7,1.9,2.2,1.7,2.3,2.5,2.1,2.4,3.4,4.4,4.2,5.1,5.0,6.4,6.3,6.6,6.5,7.3,7.6,9.4,9.5,9.6,10.0,9.5,9.3,8.4,6.8,7.3,6.3,5.9,4.7,4.4,3.2,2.5,1.7,2.0,1.2,1.8,2.2,1.9,2.0,2.1,1.1,1.5,1.6,0.6,1.1,0.3,1.8,0.7,
Lithuania,1.2,2.7,2.5,1.1,1.1,0.8,0.1,0.8,0.5,0.5,1.7,2.6,3.3,2.2,3.2,3.4,4.0,4.7,5.8,6.2,7.2,8.0,8.0,8.4,8.1,9.5,9.5,10.6,10.8,11.3,11.6,11.8,11.7,11.8,11.0,10.1,9.2,8.9,8.4,7.7,6.7,5.8,4.2,3.4,3.1,1.8,1.5,1.2,0.9,0.2,0.0,-0.4,-0.7,-0.4,0.0,1.0,0.5,0.7,0.5,0.1,
Luxembourg,1.1,2.2,1.2,1.2,1.4,1.0,1.0,6.2,-3.2,1.4,1.4,1.2,1.5,1.1,1.5,1.8,1.6,2.1,2.2,-1.4,7.8,3.5,3.8,4.5,4.5,4.3,4.7,4.8,5.4,5.9,6.3,6.8,6.1,5.6,5.5,5.3,5.2,5.7,4.5,4.0,3.5,2.5,1.9,1.9,1.4,1.3,0.7,0.3,0.3,-0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.6,0.3,0.6,0.9,
Malta,0.0,0.5,0.2,-0.4,-0.8,-1.5,-1.0,0.4,0.3,0.4,0.8,1.0,0.9,1.4,2.2,2.2,3.1,2.7,2.6,3.7,3.7,4.0,4.5,4.5,5.4,5.5,5.4,6.6,6.5,6.7,6.7,7.3,6.7,6.6,5.4,5.1,4.0,3.8,3.4,3.6,2.6,2.2,2.2,1.6,1.7,1.2,1.3,0.9,1.1,0.7,0.4,0.2,0.7,0.1,0.4,0.6,0.9,1.0,0.7,0.8,0.8
Netherlands,1.8,1.7,0.6,2.0,2.4,1.2,1.2,1.9,1.7,1.5,1.8,1.2,1.7,1.6,2.1,1.8,2.2,2.9,3.4,3.5,4.1,4.2,4.9,5.4,5.4,5.2,5.8,7.2,7.8,7.2,8.7,8.0,8.6,8.8,8.3,8.9,7.2,6.1,6.3,4.4,3.4,2.6,1.1,0.3,-0.5,-0.2,-0.8,-1.8,-0.5,-0.7,-0.9,0.5,0.5,1.3,0.0,0.3,1.5,1.5,1.5,1.7,0.6
Norway,3.0,3.7,4.3,3.7,4.0,3.1,3.6,3.8,4.1,4.3,2.9,1.7,1.5,1.8,0.9,1.5,0.8,1.3,1.4,1.5,2.5,2.3,2.4,4.3,3.2,3.6,3.7,4.2,5.0,4.7,5.6,6.7,5.9,7.0,7.2,6.3,6.9,6.6,6.8,6.1,6.0,6.0,5.4,3.5,4.2,3.0,2.7,2.1,1.9,1.2,1.9,1.3,0.8,1.2,0.5,0.9,0.6,0.6,0.6,0.9,
Poland,1.0,1.2,1.4,1.4,1.2,1.0,1.1,1.3,1.5,1.6,2.1,2.2,1.8,2.1,2.2,2.5,3.2,3.9,4.2,5.0,5.2,5.7,6.4,7.2,7.9,7.5,8.7,9.5,9.5,9.9,10.0,10.1,10.3,10.6,10.1,9.5,9.0,8.6,7.5,5.7,5.2,4.7,4.0,3.4,2.7,1.7,1.1,0.5,0.3,0.4,0.3,0.8,0.6,0.6,0.6,0.5,0.3,0.3,-0.1,-0.1,
Portugal,-2.3,-0.6,-0.4,-0.5,-0.7,-0.8,-1.1,0.8,0.9,-0.5,1.3,1.5,1.1,1.0,0.9,0.2,0.3,0.8,1.5,2.7,3.3,3.1,3.4,4.3,5.0,5.3,5.2,6.2,6.3,6.3,6.7,5.8,5.3,5.6,5.1,4.3,3.7,2.7,2.4,2.2,2.0,1.4,0.8,-0.7,-1.3,-0.5,-0.3,-0.7,-0.6,-0.6,-1.0,-0.7,-0.8,-0.5,-0.2,0.0,0.6,-0.1,-0.5,-0.1,
Romania,2.4,2.4,2.4,2.4,2.3,2.4,2.4,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.5,2.7,2.8,2.9,3.0,3.4,3.7,4.1,4.6,5.0,5.5,5.8,6.0,6.4,7.2,7.9,8.4,8.6,8.9,7.6,7.6,7.7,8.0,7.9,12.0,12.1,11.7,11.1,10.9,10.6,10.4,11.7,11.6,11.1,10.5,10.4,6.2,5.8,5.5,5.5,5.3,5.5,5.1,4.9,4.7,4.7,
Slovakia,1.4,1.6,1.8,1.9,1.6,1.5,1.8,1.8,1.7,1.5,1.4,1.8,1.9,2.3,2.7,2.6,3.2,3.9,4.0,3.9,4.5,5.4,6.5,7.0,7.3,7.6,7.8,8.7,9.4,9.4,9.7,10.4,10.5,10.8,10.6,10.3,10.0,9.4,8.4,7.5,6.7,6.1,5.7,4.8,4.2,3.4,2.8,2.2,2.0,2.0,2.0,1.9,2.1,1.9,2.5,2.6,3.0,3.3,2.8,3.2,2.9
Slovenia,-0.8,0.1,-0.9,-0.9,-0.1,-1.6,-1.0,0.4,-1.0,-2.0,0.8,1.3,1.2,1.9,1.8,1.3,1.7,3.9,4.4,4.3,5.7,6.1,5.7,5.9,6.3,6.4,6.6,7.4,7.0,6.8,6.7,6.9,6.2,7.2,7.2,6.4,6.0,5.9,5.2,4.7,3.7,2.9,2.7,2.2,2.3,1.8,1.2,0.8,0.4,-0.8,-1.5,-0.2,0.1,0.8,0.1,0.1,0.2,0.5,1.0,0.1,
Spain,-0.1,0.3,0.2,-0.2,-0.1,0.1,0.2,0.4,0.3,0.3,0.3,0.5,0.6,0.3,0.5,0.9,0.9,1.0,1.3,2.6,3.1,3.1,2.3,2.0,2.5,4.1,4.6,5.3,4.5,4.2,4.1,5.8,6.0,4.6,3.7,3.2,2.9,3.8,3.8,2.5,2.6,1.9,2.2,2.0,1.5,0.8,0.9,1.0,0.8,0.9,0.6,1.1,0.4,0.2,0.3,0.0,0.0,0.2,0.3,0.2,
Sweden,1.0,2.0,1.8,1.6,1.6,1.1,1.3,1.9,1.5,1.5,1.9,1.0,0.6,0.6,0.6,0.2,0.7,0.7,0.8,1.7,2.7,3.7,3.6,4.9,5.6,5.9,6.6,7.1,7.8,8.0,8.9,8.7,9.2,8.7,8.7,8.2,7.6,7.9,7.5,7.5,6.1,4.6,4.5,3.6,2.1,1.6,1.6,0.8,0.5,-0.2,-0.2,-0.3,0.0,0.9,-0.2,0.4,0.9,0.5,0.1,0.4,
Switzerland,-1.9,-1.4,-1.3,-1.2,-1.0,-1.2,-1.4,-0.1,-0.4,-0.6,0.1,0.3,0.5,0.7,0.4,0.3,0.5,0.8,1.2,1.1,2.1,2.3,2.8,3.1,3.4,3.4,3.7,3.8,3.4,3.3,3.2,3.1,2.5,2.1,1.6,1.2,0.7,0.7,0.5,0.0,0.1,-0.4,-0.4,-1.1,-1.2,-1.6,-1.4,-1.6,-2.1,-2.3,-2.3,-2.2,-1.9,-1.5,-1.9,-1.6,-1.4,-1.1,-1.4,-1.5,
