konsumgruppe,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03,2023M04,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11,2023M12,2024M01,2024M02,2024M03,2024M04,2024M05,2024M06,2024M07
Alkoholfrie drikker,3.5,4.7,4.9,5.2,5.4,4.2,7.2,4.4,7.8,4.4,7.4,5.7,6.5,4.4,4.7,5.4,4.4,4.6,3.9,1.4,3.9,4.1,2.7,3.6,2.6,3.5,3.8,2.4,4.1,2.9,2.0,4.3,-0.8,1.6,1.5,2.3,0.8,0.8,1.2,0.2,-1.6,1.9,2.9,3.5,5.0,0.3,1.9,1.8,3.2,4.0,3.1,4.6,4.2,1.4,2.2,1.8,0.3,2.8,1.8,1.2,0.9,-0.1,-0.8,-0.8,-0.8,0.8,1.0,0.2,2.5,3.4,-0.2,-1.8,0.1,-0.2,1.8,-0.2,0.1,-4.2,-5.1,-3.9,-5.9,-6.7,-5.9,-10.1,-11.4,-11.1,-13.4,-11.3,-10.2,-6.5,-3.9,-3.5,-2.5,-0.8,-0.1,12.2,12.0,13.4,14.5,13.0,14.3,12.0,8.1,6.8,9.1,8.9,11.4,6.5,6.1,5.7,8.1,8.8,7.6,7.3,6.2,4.9,7.6,6.3,5.3,4.9
Alkoholholdige drikker,2.8,1.8,1.8,1.7,1.9,1.8,2.1,1.1,1.5,1.7,1.7,0.6,1.2,2.0,1.7,2.0,1.9,2.6,3.5,2.6,2.8,1.9,2.1,2.2,2.0,1.6,2.1,1.9,0.9,0.2,-0.7,0.5,0.1,0.6,0.3,0.6,0.5,0.5,0.2,0.2,1.0,0.8,1.0,1.0,1.3,1.5,1.5,1.8,1.8,2.2,2.2,2.4,2.5,2.4,2.6,2.5,2.4,2.2,2.3,1.9,1.9,2.0,2.0,1.9,1.9,2.6,2.3,2.2,2.3,3.7,3.5,3.3,3.4,3.3,3.3,3.3,3.4,0.3,0.4,0.7,0.6,-0.9,-0.9,-1.1,-1.0,-1.1,-1.2,-1.3,-1.4,1.2,1.4,1.4,1.5,1.7,1.9,2.7,2.8,3.5,3.7,3.7,3.6,4.5,3.9,3.7,4.5,5.3,5.3,4.8,4.6,4.7,4.6,4.7,4.7,4.7,4.6,4.6,4.2,3.2,3.2,3.1
"Andre gjenstander og annet utstyr knyttet til fritid, hager og kjæledyr",3.0,3.2,4.3,4.3,3.5,3.6,3.3,3.5,2.2,3.0,2.6,3.3,3.3,1.4,1.7,3.0,2.6,3.0,3.3,2.8,3.0,3.0,3.4,3.3,3.1,4.6,2.1,1.3,1.9,1.7,0.1,0.4,0.4,1.1,2.0,1.9,1.6,1.2,0.7,2.4,1.2,-1.9,0.1,1.1,-0.3,1.1,-0.3,0.0,0.5,0.3,1.2,-0.6,1.3,3.9,2.4,2.5,3.3,2.3,0.8,1.1,-0.5,-0.4,0.4,2.6,1.1,0.2,1.8,-0.3,2.7,2.4,3.9,3.3,5.4,5.1,4.9,2.0,3.4,5.0,4.8,6.6,5.1,4.5,4.6,4.4,4.6,5.3,4.2,6.3,5.2,5.0,5.3,4.2,3.9,3.7,3.7,4.2,2.9,2.9,4.8,2.8,4.3,2.8,1.9,3.8,3.2,4.4,5.5,6.4,5.0,5.3,5.0,5.7,4.4,5.6,5.1,4.4,4.6,3.1,2.9,0.6
Andre personlige varer,0.5,-1.4,-1.4,-0.1,0.0,1.3,3.3,3.1,3.6,3.8,4.6,3.6,4.5,6.7,7.6,5.5,5.6,5.7,4.4,3.9,3.6,3.9,3.6,4.0,3.3,4.4,3.2,2.7,1.4,1.3,1.6,1.5,1.8,0.7,1.0,-0.2,-0.5,-0.7,-0.6,0.4,1.0,0.4,-0.3,-0.6,-1.0,-1.4,-1.1,-0.5,-0.3,-0.7,-1.5,-1.1,-0.9,0.6,1.2,1.2,1.0,2.8,1.7,2.1,3.0,3.1,4.7,4.7,4.8,4.5,5.4,5.4,5.0,4.9,5.9,4.8,4.1,5.2,4.9,4.1,3.6,2.8,2.4,2.3,1.7,0.5,0.5,0.8,0.4,2.1,2.6,1.9,2.1,2.0,2.3,2.5,3.6,4.4,3.7,4.9,5.8,2.7,1.8,3.0,4.8,4.9,3.1,5.3,4.7,4.7,5.2,5.1,4.8,5.2,5.6,5.1,4.2,4.9,5.5,2.6,3.5,3.6,3.4,3.6
Andre større varige konsumvarer knyttet til fritid og kultur,2.2,2.5,2.6,2.6,2.7,2.7,2.4,2.6,0.7,0.9,0.8,1.0,1.4,1.1,1.4,1.6,1.6,1.4,1.4,1.3,5.8,5.7,5.6,5.5,5.2,5.4,4.9,4.5,4.3,4.3,4.4,4.4,1.3,1.3,1.1,0.9,2.3,2.1,3.0,3.0,3.2,3.2,3.0,3.0,3.7,3.7,3.0,3.3,2.1,2.3,2.1,2.1,1.7,1.7,1.8,1.9,3.2,3.2,4.3,4.2,3.7,3.9,3.2,3.2,3.7,3.8,3.8,3.8,2.5,2.6,2.5,2.4,3.2,3.5,3.7,3.6,2.9,3.3,2.8,2.8,4.8,4.8,4.7,4.4,3.8,3.3,3.1,3.2,3.7,2.9,3.9,3.8,7.7,7.6,7.9,8.2,8.1,8.2,8.9,9.2,9.1,9.8,9.0,9.0,7.1,8.0,7.8,7.8,8.0,7.9,7.0,6.7,6.8,7.3,7.6,7.6,8.0,6.5,5.9,5.8
Andre tjenester,2.6,2.8,2.8,2.8,3.3,3.2,3.2,2.7,2.7,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.3,2.2,2.2,2.3,2.3,2.3,3.4,3.4,3.4,4.3,4.3,4.3,3.2,3.2,3.2,3.7,3.7,3.7,2.8,2.8,2.8,3.4,3.4,3.4,3.8,3.9,3.9,3.3,3.3,3.3,2.4,2.4,2.4,1.2,1.2,1.2,2.1,2.0,2.0,1.5,1.5,1.5,2.8,2.8,2.8,3.1,3.1,3.1,2.3,7.9,7.9,9.7,9.8,9.8,8.4,8.3,8.3,8.9,8.9,8.9,9.0,3.4,3.4,2.9,2.8,2.8,2.6,2.8,2.8,6.6,6.6,6.6,6.7,1.3,1.3,1.0,1.0,1.0,3.4,3.4,3.4,-0.4,-0.4,-0.4,-0.4,4.8,4.8,5.6,5.6,5.6,2.4,2.4,2.4,0.9,0.9,0.9,0.7,8.7,8.7,9.4,9.4,9.4,9.7,9.7
"Audiovisuelt-, foto- og ITutstyr",-0.3,0.2,0.1,-0.9,-0.4,-0.4,1.6,2.9,3.6,2.9,3.1,3.2,3.1,3.9,3.7,4.3,2.8,3.4,2.7,1.3,1.4,2.5,2.2,1.8,1.8,1.6,2.1,3.6,3.6,2.3,1.4,1.2,-0.6,-0.4,1.2,1.1,0.6,1.2,0.2,-1.1,-0.7,-0.7,-0.7,-0.1,1.0,-0.1,-0.8,-0.4,1.4,0.2,1.1,1.7,0.8,1.8,2.3,0.0,1.0,1.6,1.1,0.1,-1.0,-2.5,-3.4,-3.9,-2.7,-2.2,-3.4,-1.9,-0.3,1.0,1.4,4.1,4.1,6.3,6.1,5.6,5.5,5.4,6.7,6.6,3.6,2.5,4.0,2.3,1.2,1.1,1.6,0.6,0.4,-0.3,1.1,-0.7,-3.5,1.9,-3.6,-1.4,-0.6,-1.9,0.3,0.5,5.8,6.4,3.5,6.7,10.2,4.6,7.9,8.9,6.3,9.7,8.8,4.1,2.2,2.0,7.0,4.3,4.7,3.5,1.1,0.6
"Aviser, bøker og papirvarer",3.0,5.9,7.3,7.0,7.2,8.4,8.7,11.1,6.6,8.8,10.3,4.6,6.6,7.6,8.5,6.5,10.4,5.5,4.2,6.9,4.2,4.8,4.8,5.2,6.2,5.5,6.3,6.1,2.1,6.1,11.7,2.3,3.7,5.4,5.5,3.4,3.2,2.6,2.7,2.7,2.2,2.3,-1.8,4.6,4.6,2.5,2.8,2.6,4.6,5.7,4.3,3.5,3.1,2.5,6.6,1.6,2.1,3.9,2.9,4.0,2.5,3.0,2.7,4.5,3.1,4.7,3.0,1.0,3.6,1.8,2.7,2.2,3.6,3.9,3.5,3.6,3.7,3.6,0.3,6.6,5.7,4.4,6.6,6.2,6.0,1.7,2.8,2.5,3.3,2.5,5.9,5.0,3.5,4.5,4.4,5.1,1.9,7.9,7.2,6.1,5.2,8.6,7.6,7.4,6.0,7.8,6.9,5.0,7.8,5.4,6.0,5.7,7.7,3.4,4.5,4.5,5.2,5.1,2.8,5.3
Beregnet husleie,2.5,2.4,2.3,2.2,2.2,2.4,2.4,2.4,2.5,2.4,2.5,2.3,2.3,2.2,2.3,2.1,2.0,1.8,1.7,1.9,1.8,1.6,1.8,1.9,1.7,1.6,1.6,2.0,2.0,1.9,2.1,1.9,1.8,2.0,1.7,1.6,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.6,1.7,1.5,1.4,1.6,1.6,1.4,1.5,1.5,1.6,1.5,1.5,1.6,1.3,1.5,1.8,1.8,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.3,1.4,1.2,1.3,1.3,1.1,1.2,1.2,1.0,0.8,0.8,0.7,1.2,1.3,1.5,1.3,1.4,1.6,1.4,1.4,1.6,1.7,1.9,2.0,1.7,1.7,1.9,2.0,2.2,2.4,2.4,2.4,2.9,3.1,3.2,3.4,3.9,4.1,4.2,4.3,4.3,4.4,4.5,4.6,4.4,4.4,4.4,4.6,4.5,4.4,4.2
Betalt husleie,2.7,2.7,2.6,2.6,2.7,3.1,3.0,3.0,3.1,2.9,2.9,2.8,2.8,2.6,2.5,2.3,2.2,2.0,1.8,2.0,1.9,1.9,1.9,1.9,1.9,1.8,1.8,2.1,2.1,2.2,2.5,2.3,2.2,2.3,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.7,1.7,1.7,1.7,1.8,1.8,1.6,1.6,1.8,1.8,1.6,1.6,1.7,1.7,1.8,1.8,1.8,1.7,1.8,1.9,1.9,2.0,1.9,2.1,2.0,1.8,1.8,1.6,1.2,1.4,1.3,1.5,1.4,1.3,1.4,1.4,1.1,1.1,1.0,1.1,1.5,1.3,1.5,1.2,1.4,1.5,1.4,1.3,1.7,1.8,1.9,2.0,1.8,1.9,2.2,2.3,2.5,2.5,2.5,2.6,3.1,3.4,3.6,3.6,4.1,4.3,4.2,4.2,4.2,4.4,4.6,4.5,4.4,4.3,4.4,4.6,4.4,4.3,4.2
Boligtekstiler,2.4,2.4,6.4,-0.1,-2.7,-0.8,-5.2,6.4,3.5,-5.1,10.9,4.1,4.9,10.1,3.3,13.7,8.1,10.7,11.0,6.5,4.0,13.8,1.1,0.9,6.8,6.3,2.6,-4.0,11.0,0.9,2.3,-0.5,-5.6,0.7,-0.1,1.0,0.7,-1.8,3.9,4.0,-1.2,1.7,2.1,3.5,9.9,3.9,3.6,5.0,-1.9,6.6,3.9,3.2,6.3,-1.2,1.8,7.0,7.0,3.9,4.5,-2.1,-2.1,4.8,1.4,-0.8,-0.4,11.4,4.7,-2.2,3.0,7.7,13.8,18.0,18.8,17.0,17.2,14.0,9.5,12.3,9.2,11.9,8.6,5.0,7.5,-0.5,-0.4,2.1,-1.4,-1.4,1.2,-1.1,3.9,2.9,2.6,9.7,-4.0,2.7,4.1,0.2,4.5,2.9,16.9,10.8,10.7,18.5,22.1,12.8,15.4,20.3,19.9,8.3,13.9,27.6,21.1,8.4,12.6,4.9,-0.8,-5.7,-0.5,1.0
Drift av personlige transportmidler,2.1,1.7,1.4,1.5,-0.6,-1.2,-1.9,-0.9,0.3,-1.7,0.6,0.4,-0.8,-1.8,-1.0,-0.8,0.3,0.0,-0.5,1.1,-0.3,0.4,0.1,-0.6,0.1,1.4,1.2,2.1,3.7,6.0,7.4,3.9,3.1,3.8,2.9,2.8,4.6,5.2,3.3,4.6,1.9,2.3,2.6,3.7,5.5,7.1,5.4,6.0,5.5,5.6,8.2,6.1,5.6,3.0,3.3,3.6,3.3,2.0,3.5,3.5,2.5,2.4,2.3,3.0,4.7,5.8,3.5,2.2,0.0,0.2,0.5,1.4,1.2,-0.8,-0.9,-3.1,-0.3,1.0,2.7,3.3,6.7,6.0,5.4,5.4,6.3,7.9,9.1,12.1,9.5,8.4,10.1,16.6,13.5,16.3,21.8,19.9,14.1,16.6,18.0,15.1,11.6,12.6,9.7,5.4,6.3,2.4,-2.6,-1.9,5.5,4.5,2.1,3.0,4.8,1.7,4.7,2.7,4.8,6.7,7.0,6.3
"Elektrisitet, fyringsoljer og annet brensel",-2.2,-0.8,-5.8,-4.7,0.3,-1.0,0.4,0.9,3.1,2.9,-2.8,-12.5,-12.0,-12.3,-2.9,1.0,-5.5,10.1,3.3,9.1,11.0,15.1,26.4,32.9,27.1,24.1,24.5,27.5,25.5,7.9,17.0,13.8,12.7,11.4,5.0,5.9,8.0,10.9,0.9,0.7,6.9,9.6,14.3,20.1,17.4,13.6,27.5,33.5,34.3,29.6,27.3,24.2,27.0,27.7,15.0,6.1,7.7,10.1,-5.8,-8.5,-8.6,-11.1,-3.4,-3.5,-9.1,-21.0,-25.7,-28.0,-32.2,-29.6,-29.9,-32.3,-30.8,-23.2,-22.4,-31.9,-19.7,17.1,38.1,35.5,46.6,49.4,61.4,74.0,87.9,98.4,75.6,112.6,98.6,22.8,12.2,25.0,41.7,28.0,29.2,19.6,22.0,18.7,24.8,14.0,2.4,15.6,13.7,17.6,7.8,12.0,8.5,-2.7,-23.3,-41.1,-30.6,-15.7,-11.9,-2.7,-2.0,-5.8,-9.9,-20.7,-19.3,-13.4
"Feriereiser, pakketurer",-1.2,-1.2,-0.8,-0.8,-0.8,-0.3,-0.3,-0.3,-2.6,-2.6,1.0,3.9,3.9,3.9,3.9,3.9,3.9,7.7,7.7,7.7,1.7,1.7,4.8,5.2,5.2,5.2,4.5,4.5,4.5,2.5,2.5,2.5,8.4,8.4,5.7,6.9,6.9,6.9,3.5,3.5,3.5,3.0,3.0,3.0,0.9,0.9,4.9,6.6,6.6,6.6,8.6,8.6,8.6,6.9,6.9,6.9,11.0,11.0,5.4,2.4,2.4,2.4,1.6,1.6,1.6,4.6,4.6,4.6,0.2,0.1,1.0,1.5,1.5,1.5,2.6,2.5,2.5,1.6,1.6,1.6,2.6,2.7,2.6,2.4,2.4,1.2,1.7,1.8,1.8,3.9,3.9,3.9,6.2,6.2,13.7,12.6,12.6,14.0,16.6,16.6,16.6,13.1,13.1,13.1,13.0,13.0,21.6,26.0,26.0,26.0,23.9,23.9,23.9,19.9,19.9,19.9,18.9,18.9,-3.2,-4.0
Finansielle tjenester utenom forsikring,3.7,3.7,3.1,3.1,3.1,0.7,0.7,0.7,-0.7,-0.7,-0.7,-0.9,-0.9,-0.9,-1.6,-1.6,-1.6,-0.9,-0.9,-0.9,-0.7,-0.7,-0.7,-0.4,-0.4,-0.4,0.0,0.0,0.0,1.3,1.3,1.3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.7,1.7,0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.1,-0.1,0.7,0.7,0.7,0.7,-0.2,-0.2,-0.2,0.7,0.7,0.7,2.6,2.6,2.6,2.4,2.4,2.4,4.6,4.6,4.6,3.6,3.6,3.6,1.3,1.3,1.1,1.5,1.5,1.5,-0.1,-0.1,0.1,0.1,0.1,0.1,-0.2,-0.2,0.7,0.5,0.5,0.5,0.8,0.8,0.7,0.8,0.8,0.8,0.7,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.6
Forsikring,1.6,1.5,1.7,1.6,1.6,1.5,1.5,1.5,1.1,1.1,1.1,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.2,0.2,0.2,0.3,0.3,0.3,-0.2,-0.2,-0.2,0.1,0.1,0.1,0.9,0.9,0.9,1.6,1.6,1.6,2.5,2.5,2.5,2.9,2.9,2.9,2.4,2.4,2.4,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.7,1.7,1.7,2.5,2.5,2.5,3.3,3.3,3.3,3.1,3.1,3.1,4.1,4.1,4.1,4.4,4.4,4.4,4.7,4.7,4.7,5.4,5.4,5.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.0,6.0,6.0,5.3,5.3,5.3,5.3,5.3,5.3,4.5,4.5,4.5,4.6,4.6,4.6,4.9,4.9,4.9,5.2,5.2,5.2,5.5,5.5,5.5,5.5,5.5,5.5,6.1,6.1,6.1,7.6
"Glassvarer, dekketøy og kjøkkenredskaper",4.5,4.3,3.2,2.3,2.2,3.3,3.8,5.2,5.5,5.1,3.7,2.6,0.9,3.7,4.6,4.6,4.3,4.3,4.2,2.7,3.7,4.8,6.1,7.2,6.8,4.2,3.0,2.2,2.2,1.0,-1.7,-1.6,-1.6,-2.9,-3.8,-6.4,-9.8,-8.6,-2.6,-3.2,-2.3,-2.2,2.1,0.1,0.3,2.1,1.7,3.3,7.2,6.0,2.5,0.3,1.1,4.5,2.9,5.1,2.6,4.7,3.9,4.5,1.6,6.3,4.7,7.4,6.6,3.9,3.2,5.2,4.1,1.1,7.0,6.3,10.3,9.4,7.8,9.6,7.0,10.0,12.0,11.1,15.6,7.1,4.7,10.5,5.3,2.9,5.4,2.0,4.8,2.5,5.0,2.3,-1.4,8.5,6.3,3.7,5.3,9.9,6.5,8.8,8.0,8.5,4.8,9.5,8.9,5.5,6.2,8.3,7.9,5.9,8.1,4.6,3.0,7.5,2.3,0.5,2.1,1.8,1.0,-2.0
Helsetjenester utenom institusjon,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,2.9,2.4,2.4,2.4,2.4,2.4,1.5,1.7,1.6,1.8,1.6,1.6,4.2,3.7,3.6,3.6,3.6,3.7,3.5,3.3,3.4,3.4,3.5,3.5,0.9,0.6,0.7,0.7,0.7,0.6,1.0,1.0,1.1,0.9,1.2,1.2,1.9,2.1,2.2,2.2,2.4,2.4,2.5,2.5,2.4,2.5,2.2,2.2,1.5,5.4,5.3,5.5,5.1,5.1,5.4,5.0,5.0,5.2,5.2,5.1,5.7,2.0,1.8,1.6,1.6,1.7,2.6,4.9,5.3,5.4,5.7,5.6,5.1,4.7,5.0,4.9,5.4,5.0,3.6,2.9,2.5,2.2,2.4,2.5,2.6,3.0,2.8,3.1,3.1,3.3,3.0,3.1,3.1,3.1,2.5,2.6,3.4,3.4,3.5,3.4,3.0,3.1,3.5,4.5,4.4,4.5,4.4,4.4,3.7
